panel,q,gamma,saturation_chi,attack_reduction_fraction,tau,output_species,variance_change_percent
1,0.4,0.05,0.0,0.1,0.010000000000000002,1,-4.782260270358618
1,0.4,0.05,0.0,0.1,0.010525002852777327,1,-4.784460589436024
1,0.4,0.05,0.0,0.1,0.011077568505097092,1,-4.786775194620619
1,0.4,0.05,0.0,0.1,0.011659144011798317,1,-4.789209954162832
1,0.4,0.05,0.0,0.1,0.012271252398511897,1,-4.791771030339753
1,0.4,0.05,0.0,0.1,0.01291549665014884,1,-4.794464893400252
1,0.4,0.05,0.0,0.1,0.013593563908785255,1,-4.797298336085842
1,0.4,0.05,0.0,0.1,0.014307229891937572,1,-4.800278488740628
1,0.4,0.05,0.0,0.1,0.015058363542798407,1,-4.80341283502379
1,0.4,0.05,0.0,0.1,0.015848931924611134,1,-4.806709228235906
1,0.4,0.05,0.0,0.1,0.016681005372000592,1,-4.8101759082705975
1,0.4,0.05,0.0,0.1,0.017556762912750015,1,-4.813821519199546
1,0.4,0.05,0.0,0.1,0.018478497974222907,1,-4.817655127498266
1,0.4,0.05,0.0,0.1,0.019448624389373625,1,-4.821686240917533
1,0.4,0.05,0.0,0.1,0.02046968271807521,1,-4.825924828002249
1,0.4,0.05,0.0,0.1,0.021544346900318832,1,-4.8303813382572836
1,0.4,0.05,0.0,0.1,0.02267543125870802,1,-4.835066722955617
1,0.4,0.05,0.0,0.1,0.023865897868585808,1,-4.839992456580866
1,0.4,0.05,0.0,0.1,0.025118864315095794,1,-4.845170558891043
1,0.4,0.05,0.0,0.1,0.026437611857490998,1,-4.850613617585797
1,0.4,0.05,0.0,0.1,0.027825594022071243,1,-4.856334811553998
1,0.4,0.05,0.0,0.1,0.02928644564625236,1,-4.862347934670231
1,0.4,0.05,0.0,0.1,0.030823992397451434,1,-4.868667420104145
1,0.4,0.05,0.0,0.1,0.0324422607917163,1,-4.875308365096254
1,0.4,0.05,0.0,0.1,0.034145488738336026,1,-4.882286556145388
1,0.4,0.05,0.0,0.1,0.03593813663804628,1,-4.8896184945434795
